CODE_CORRESPONDANCE;Correspondance;Acte Externe;Acte RC;Libellé Acte;DMT;DMT;Domaine Court Séjour;Libellé DCS;Base de Remboursement;Spécialité;Libellé Spécialité;Mode de traitement;Libellé Mode de traitement;Nature d'assurance;Libellé Nature d'assurance;DEBUT_EFFET;FIN_EFFET;DATE_CREATION;DATE_MAJ;CODE_CAT_PROF_SANTE;CAT_PROF_SANTE;CODE_GARANTIE_ELEMENTAIRE;GARANTIE_ELEMENTAIRE;TYPE_SECTEUR_CONVENTIONNE;CATEGORIE_DENT;AUTEUR_CREATION;AUTEUR_MAJ
CORR01;NOEMIE AS et TP;307;PH7;Pharmacie 65%;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-04-09 00:00:00.000;2015-04-09 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;307;PH7;Pharmacie 65%;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;370;PA;Accessoires et appareillages;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-04-09 00:00:00.000;2015-04-09 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;370;PA;Accessoires et appareillages;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;372;PA;Accessoires et appareillages;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-04-09 00:00:00.000;2015-04-09 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;372;PA;Accessoires et appareillages;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;373;PA;Accessoires et appareillages;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-04-09 00:00:00.000;2015-04-09 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;373;PA;Accessoires et appareillages;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;376;PH7;Pharmacie 65%;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-04-09 00:00:00.000;2015-04-09 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;376;PH7;Pharmacie 65%;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;377;PA1;Accessoires et appareillages;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-04-09 00:00:00.000;2015-04-09 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;377;PA1;Accessoires et appareillages;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;382;PA;Accessoires et appareillages;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-04-09 00:00:00.000;2015-04-09 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;382;PA;Accessoires et appareillages;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;386;PA1;Accessoires et appareillages;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-04-09 00:00:00.000;2015-04-09 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;386;PA1;Accessoires et appareillages;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;387;PA1;Accessoires et appareillages;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-04-09 00:00:00.000;2015-04-09 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;387;PA1;Accessoires et appareillages;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;400;PH1;Pharmacie 100%;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-04-09 00:00:00.000;2015-04-09 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;400;PH1;Pharmacie 100%;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;401;PH1;Pharmacie 100%;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-04-09 00:00:00.000;2015-04-09 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;401;PH1;Pharmacie 100%;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;999;9PHN;Pharmacie non remboursable;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-04-09 00:00:00.000;2015-04-09 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;999;9PHN;Pharmacie non remboursable;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;9BE01;9BE01;Bonification - Verres unifocaux 15 ¿;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2011-04-01 00:00:00.000;2011-04-01 00:00:00.000;;;;;2;;HCHABIJE;HCHABIJE
CORR02;Autres AS et TP;9BE01;9BE01;Bonification - Verres unifocaux 15 ¿;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;9BE02;9BE02;Bonification - Verres multifocaux 25 ¿;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2011-04-01 00:00:00.000;2011-04-01 00:00:00.000;;;;;2;;HCHABIJE;HCHABIJE
CORR02;Autres AS et TP;9BE02;9BE02;Bonification - Verres multifocaux 25 ¿;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;9BE03;9BE03;Bonification Euro Verre simple Adulte;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-02-11 00:00:00.000;2015-02-11 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;9BE03;9BE03;Bonification Euro Verre simple Adulte;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2024-07-16 00:00:00.000;2024-07-16 00:00:00.000;;;;;2;;49POINCT;49POINCT
CORR01;NOEMIE AS et TP;9BE04;9BE04;Bonification Euro Verre complexe Adulte;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-02-11 00:00:00.000;2015-02-11 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;9BE04;9BE04;Bonification Euro Verre complexe Adulte;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2024-07-16 00:00:00.000;2024-07-16 00:00:00.000;;;;;2;;49POINCT;49POINCT
CORR01;NOEMIE AS et TP;9BE05;9BE05;Bonification Euro Verre très complexe Adulte;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-02-11 00:00:00.000;2015-02-11 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;9BE05;9BE05;Bonification Euro Verre très complexe Adulte;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2024-07-16 00:00:00.000;2024-07-16 00:00:00.000;;;;;2;;49POINCT;49POINCT
CORR01;NOEMIE AS et TP;9BE06;9BE06;Bonification Euro Verre simple Enfant;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-02-11 00:00:00.000;2015-02-11 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;9BE06;9BE06;Bonification Euro Verre simple Enfant;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2024-07-16 00:00:00.000;2024-07-16 00:00:00.000;;;;;2;;49POINCT;49POINCT
CORR01;NOEMIE AS et TP;9BE07;9BE07;Bonification Euro Verre complexe Enfant;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-02-11 00:00:00.000;2015-02-11 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;9BE07;9BE07;Bonification Euro Verre complexe Enfant;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2024-07-16 00:00:00.000;2024-07-16 00:00:00.000;;;;;2;;49POINCT;49POINCT
CORR01;NOEMIE AS et TP;9BE08;9BE08;Bonification Euro Verre très complexe Enfant;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-02-11 00:00:00.000;2015-02-11 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;9BE08;9BE08;Bonification Euro Verre très complexe Enfant;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2024-07-16 00:00:00.000;2024-07-16 00:00:00.000;;;;;2;;49POINCT;49POINCT
CORR01;NOEMIE AS et TP;9BE1A;9BE1A;Bonification Euro Verre simple Adulte;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-04-10 00:00:00.000;2015-04-10 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;9BE1A;9BE1A;Bonification Euro Verre simple Adulte;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;9BE1E;9BE1E;Bonification Euro Verre simple Enfant;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-04-10 00:00:00.000;2015-04-10 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;9BE1E;9BE1E;Bonification Euro Verre simple Enfant;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;9BE2A;9BE2A;Bonification Euro Verre complexe Unif Adulte;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-04-10 00:00:00.000;2015-04-10 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;9BE2A;9BE2A;Bonification Euro Verre complexe Unif Adulte;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;9BE2E;9BE2E;Bonification Euro Verre complexe Unif Enfant;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-04-10 00:00:00.000;2015-04-10 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;9BE2E;9BE2E;Bonification Euro Verre complexe Unif Enfant;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;9BE3A;9BE3A;Bonification Euro Verre complexe Multi Adulte;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-04-10 00:00:00.000;2015-04-10 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;9BE3A;9BE3A;Bonification Euro Verre complexe Multi Adulte;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;9BE3E;9BE3E;Bonification Euro Verre complexe Multi Enfant;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-04-10 00:00:00.000;2015-04-10 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;9BE3E;9BE3E;Bonification Euro Verre complexe Multi Enfant;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;9BE4A;9BE4A;Bonification Euro Verre très complexe Adulte;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-04-10 00:00:00.000;2015-04-10 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;9BE4A;9BE4A;Bonification Euro Verre très complexe Adulte;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;9BE4E;9BE4E;Bonification Euro Verre très complexe Enfant;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-04-10 00:00:00.000;2015-04-10 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;9BE4E;9BE4E;Bonification Euro Verre très complexe Enfant;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;9BFC1;9BFC1;Bonification - frais réels conventionnés;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2011-04-01 00:00:00.000;2011-04-01 00:00:00.000;;;;;2;;HCHABIJE;HCHABIJE
CORR02;Autres AS et TP;9BFC1;9BFC1;Bonification - frais réels conventionnés;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;9BFC2;9BFC2;Bonification frais réels conventionnés Adulte;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-03-17 00:00:00.000;2015-03-17 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;9BFC2;9BFC2;Bonification frais réels conventionnés Adulte;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2024-07-16 00:00:00.000;2024-07-16 00:00:00.000;;;;;2;;49POINCT;49POINCT
CORR01;NOEMIE AS et TP;9BFC3;9BFC3;Bonification frais réels conventionnés Enfant;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-03-17 00:00:00.000;2015-03-17 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;9BFC3;9BFC3;Bonification frais réels conventionnés Enfant;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2024-07-16 00:00:00.000;2024-07-16 00:00:00.000;;;;;2;;49POINCT;49POINCT
CORR01;NOEMIE AS et TP;9BFR1;9BFR1;Bonification - frais réels;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2011-04-01 00:00:00.000;2011-04-01 00:00:00.000;;;;;2;;HCHABIJE;HCHABIJE
CORR02;Autres AS et TP;9BFR1;9BFR1;Bonification - frais réels;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;9BG1;9BG1;Bonification Kalivia (Forfait global)-40¿;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2011-04-01 00:00:00.000;2011-04-01 00:00:00.000;;;;;2;;HCHABIJE;HCHABIJE
CORR02;Autres AS et TP;9BG1;9BG1;Bonification Kalivia (Forfait global)-40¿;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;9BLA1;9BLA1;Bonif simple Ad CR - Monture Eq A;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2017-12-05 00:00:00.000;2017-12-05 00:00:00.000;;;;;2;;49CLEMFN;49CLEMFN
CORR02;Autres AS et TP;9BLA1;9BLA1;Bonif simple Ad CR - Monture Eq A;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2017-12-05 00:00:00.000;2017-12-05 00:00:00.000;;;;;2;;49CLEMFN;49CLEMFN
CORR01;NOEMIE AS et TP;9BLA2;9BLA2;Bonif simple/complexe Ad CR - Monture Eq B;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2017-12-05 00:00:00.000;2017-12-05 00:00:00.000;;;;;2;;49CLEMFN;49CLEMFN
CORR02;Autres AS et TP;9BLA2;9BLA2;Bonif simple/complexe Ad CR - Monture Eq B;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2017-12-05 00:00:00.000;2017-12-05 00:00:00.000;;;;;2;;49CLEMFN;49CLEMFN
CORR01;NOEMIE AS et TP;9BLA3;9BLA3;Bonif complexe Ad CR - Monture Eq C;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2017-12-05 00:00:00.000;2017-12-05 00:00:00.000;;;;;2;;49CLEMFN;49CLEMFN
CORR02;Autres AS et TP;9BLA3;9BLA3;Bonif complexe Ad CR - Monture Eq C;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2017-12-05 00:00:00.000;2017-12-05 00:00:00.000;;;;;2;;49CLEMFN;49CLEMFN
CORR01;NOEMIE AS et TP;9BLA4;9BLA4;Bonif simple/très complexe Ad CR - Monture Eq D;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2017-12-05 00:00:00.000;2017-12-05 00:00:00.000;;;;;2;;49CLEMFN;49CLEMFN
CORR02;Autres AS et TP;9BLA4;9BLA4;Bonif simple/très complexe Ad CR - Monture Eq D;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2017-12-05 00:00:00.000;2017-12-05 00:00:00.000;;;;;2;;49CLEMFN;49CLEMFN
CORR01;NOEMIE AS et TP;9BLA5;9BLA5;Bonif complexe/ très complexe Ad CR - Monture Eq E;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2017-12-05 00:00:00.000;2017-12-05 00:00:00.000;;;;;2;;49CLEMFN;49CLEMFN
CORR02;Autres AS et TP;9BLA5;9BLA5;Bonif complexe/ très complexe Ad CR - Monture Eq E;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2017-12-05 00:00:00.000;2017-12-05 00:00:00.000;;;;;2;;49CLEMFN;49CLEMFN
CORR01;NOEMIE AS et TP;9BLA6;9BLA6;Bonif très complexe Ad CR - Monture Eq F;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2017-12-05 00:00:00.000;2017-12-05 00:00:00.000;;;;;2;;49CLEMFN;49CLEMFN
CORR02;Autres AS et TP;9BLA6;9BLA6;Bonif très complexe Ad CR - Monture Eq F;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2017-12-05 00:00:00.000;2017-12-05 00:00:00.000;;;;;2;;49CLEMFN;49CLEMFN
CORR01;NOEMIE AS et TP;9BLE1;9BLE1;Bonif simple Enf CR - Monture Eq A;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2017-12-05 00:00:00.000;2017-12-05 00:00:00.000;;;;;2;;49CLEMFN;49CLEMFN
CORR02;Autres AS et TP;9BLE1;9BLE1;Bonif simple Enf CR - Monture Eq A;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2017-12-05 00:00:00.000;2017-12-05 00:00:00.000;;;;;2;;49CLEMFN;49CLEMFN
CORR01;NOEMIE AS et TP;9BLE2;9BLE2;Bonif simple/complexe Enf CR - Monture Eq B;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2017-12-05 00:00:00.000;2017-12-05 00:00:00.000;;;;;2;;49CLEMFN;49CLEMFN
CORR02;Autres AS et TP;9BLE2;9BLE2;Bonif simple/complexe Enf CR - Monture Eq B;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2017-12-05 00:00:00.000;2017-12-05 00:00:00.000;;;;;2;;49CLEMFN;49CLEMFN
CORR01;NOEMIE AS et TP;9BLE3;9BLE3;Bonif complexe Enf CR - Monture Eq C;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2017-12-05 00:00:00.000;2017-12-05 00:00:00.000;;;;;2;;49CLEMFN;49CLEMFN
CORR02;Autres AS et TP;9BLE3;9BLE3;Bonif complexe Enf CR - Monture Eq C;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2017-12-05 00:00:00.000;2017-12-05 00:00:00.000;;;;;2;;49CLEMFN;49CLEMFN
CORR01;NOEMIE AS et TP;9BLE4;9BLE4;Bonif simple/très complexe Enf CR - Monture Eq D;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2017-12-05 00:00:00.000;2017-12-05 00:00:00.000;;;;;2;;49CLEMFN;49CLEMFN
CORR02;Autres AS et TP;9BLE4;9BLE4;Bonif simple/très complexe Enf CR - Monture Eq D;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2017-12-05 00:00:00.000;2017-12-05 00:00:00.000;;;;;2;;49CLEMFN;49CLEMFN
CORR01;NOEMIE AS et TP;9BLE5;9BLE5;Bonif complexe/très complexe Enf CR - Monture Eq E;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2017-12-05 00:00:00.000;2017-12-05 00:00:00.000;;;;;2;;49CLEMFN;49CLEMFN
